Text3,Text1,Text,Field,Hempfield_Area_HS_8,Text2
1/20/2024,Guard: IOG,Top Hats,MV10-10,"12.400 1
st",
1/20/2024,Guard: IOG,Top Hats,DES 10/10,"14.000 1
st",
1/20/2024,Guard: IOG,Top Hats,GE 10/10,"13.800 1
st",
1/20/2024,Guard: IOG,Top Hats,GE 10/10,"13.700 1
st",
1/20/2024,Guard: IOG,Top Hats,Total,,69.100
1/20/2024,Guard: SWG,Norwin W HS (G),EQ10-10,"14.300 1
st",
1/20/2024,Guard: SWG,Norwin W HS (G),MV10-10,"12.800 1
st",
1/20/2024,Guard: SWG,Norwin W HS (G),DES 10/10,"13.600 1
st",
1/20/2024,Guard: SWG,Norwin W HS (G),GE 10/10,"13.600 1
st",
1/20/2024,Guard: SWG,Norwin W HS (G),GE 10/10,"13.200 1
st",
1/20/2024,Guard: SWG,Norwin W HS (G),Total,,67.500
2/3/2024,Marching Percussion: SRP,Southern Tioga HS,VIS-PERC,"12.700 1
st",
2/3/2024,Marching Percussion: SRP,Southern Tioga HS,VE-PERC,"12.400 1
st",
2/3/2024,Marching Percussion: SRP,Southern Tioga HS,MUS-PERC,"19.800 1
st",
2/3/2024,Marching Percussion: SRP,Southern Tioga HS,ME-PERC,"14.700 1
st",
2/3/2024,Marching Percussion: SRP,Southern Tioga HS,Total,,59.600
2/3/2024,Stationary Percussion: SAS,Mifflin County HS,MUS-SPERC,"34.100 2
nd",
2/3/2024,Stationary Percussion: SAS,Mifflin County HS,ART-SPERC,"28.700 2
nd",
2/3/2024,Stationary Percussion: SAS,Mifflin County HS,Total,,62.800
2/3/2024,Twirlers: ICT,Haven Performing Arts,CAD,"Bronze 1
st",
2/3/2024,Twirlers: ICT,Haven Performing Arts,CAD,"Silver 1
st",
2/3/2024,Twirlers: ICT,Haven Performing Arts,CAD,"Silver 1
st",
2/3/2024,Twirlers: ICT,Haven Performing Arts,Total,,Silver
2/3/2024,Twirlers: IJT,Diamondettes,EQ70-130,"9.420 1
st",
2/3/2024,Twirlers: IJT,Diamondettes,MV70-130,"8.410 1
st",
2/3/2024,Twirlers: IJT,Diamondettes,DES 70/130,"9.020 1
st",
2/3/2024,Twirlers: IJT,Diamondettes,GE 70/130,"9.210 1
st",
2/3/2024,Twirlers: IJT,Diamondettes,GE 70/130,"8.940 1
st",
2/3/2024,Twirlers: IJT,Diamondettes,Total,,45.000
2/3/2024,Twirlers: SMT,Glendale MS,EQ70-130,"11.490 1
st",
2/3/2024,Twirlers: SMT,Glendale MS,MV70-130,"10.880 1
st",
2/3/2024,Twirlers: SMT,Glendale MS,DES 70/130,"11.430 1
st",
2/3/2024,Twirlers: SMT,Glendale MS,GE 70/130,"11.020 1
st",
2/3/2024,Twirlers: SMT,Glendale MS,GE 70/130,"11.890 1
st",
